dates,stock,open,close,high,low,volume,category
2008-11-19,PEP,52.8100,52.1000,54.4000,51.8000,11360000,Food
2008-11-18,PEP,52.0200,53.1400,53.8800,51.1100,13268800,Food
2008-11-17,PEP,53.4700,52.9700,54.7900,52.6000,8527600,Food
2008-11-14,PEP,54.7800,53.5200,56.1300,52.1100,9990700,Food
2008-11-13,PEP,53.2800,55.5900,55.6900,52.0100,10991600,Food
2008-11-12,PEP,54.1200,53.1000,55.0600,52.9200,7447800,Food
2008-11-11,PEP,54.6100,55.0800,56.1200,53.4744,7532200,Food
2008-11-10,PEP,56.3800,54.6100,56.3900,53.7500,7633300,Food
2008-11-07,PEP,55.3000,55.3600,56.1700,54.2400,9906900,Food
2008-11-06,PEP,56.4200,54.8500,57.4000,54.1000,10154600,Food
2008-11-05,PEP,58.5300,57.0100,59.0500,56.6500,8610400,Food
2008-11-04,PEP,58.4900,58.3400,59.2300,57.7400,6680000,Food
2008-11-03,PEP,56.9700,57.4700,57.8600,56.5000,5567000,Food
2008-10-31,PEP,57.0000,57.0100,57.9900,56.2500,9416200,Food
2008-10-30,PEP,56.2200,57.0800,57.6800,55.8200,10030900,Food
2008-10-29,PEP,55.8600,55.0000,57.4800,54.2200,9255900,Food
2008-10-28,PEP,52.6500,55.8300,56.5000,52.1600,12930100,Food
2008-10-27,PEP,52.1800,51.4900,53.7700,50.7200,9168600,Food
2008-10-24,PEP,50.5100,51.7600,53.0100,50.4100,10365200,Food
2008-10-23,PEP,53.7300,53.4800,54.6200,51.0600,11878400,Food
2008-10-22,PEP,53.9900,53.6400,54.8600,52.3900,9405500,Food
2008-10-21,PEP,55.9900,55.0000,56.6300,54.7000,9079800,Food
2008-10-20,PEP,54.5400,56.7600,56.7600,53.8500,13080400,Food
2008-10-17,PEP,51.8700,53.8800,55.4800,51.7500,14242400,Food
2008-10-16,PEP,51.3900,53.0800,53.2500,50.6600,19697100,Food
2008-10-15,PEP,54.1500,51.2500,54.7200,50.6500,22994100,Food
2008-10-14,PEP,56.2800,54.4000,58.7000,53.2600,34963700,Food
